agents,targets,model,checkpoint,avg_dir_mismatch
30,10,Majority Model,13,0.4383628718903619
30,10,Majority Model,14,0.41798958640856615
30,10,Majority Model,15,0.3615360258152474
30,10,Majority Model,16,0.5120865442687977
30,10,Majority Model,17,0.4708466851074457
30,10,Majority Model,18,0.5089956566535019
30,10,Majority Model,19,0.8100491459055974
30,10,Majority Model,20,0.4481838895761627
30,10,Majority Model,21,0.5019961987168406
30,10,Majority Model,22,0.44429817101688057
30,10,Majority Model,23,0.449236181743869
30,10,Majority Model,24,0.7186703158887481
30,10,Majority Model,25,0.733281198952139
30,10,Majority Model,26,0.7169962664606954
30,10,Majority Model,27,0.44262747016917997
30,10,Majority Model,28,0.4941848228506508
30,10,Majority Model,29,0.2375351357235093
30,10,Majority Model,30,0.2866307205553799
30,10,Voter Model,1,2.915111177391191
30,10,Voter Model,2,1.085574056340914
30,10,Voter Model,3,0.9486099626258049
30,10,Voter Model,4,0.7173107879878825
30,10,Voter Model,5,0.8742063402955289
30,10,Voter Model,6,0.3761810387862322
30,10,Voter Model,7,0.3279710464397962
30,10,Voter Model,8,0.45627133156054617
30,10,Voter Model,9,0.361963053374722
30,10,Voter Model,10,0.43082859062506423
30,10,Voter Model,11,0.27878576873730887
30,10,Voter Model,12,0.38241327853258855
30,10,Voter Model,13,0.5844335374143793
30,10,Voter Model,14,0.7095944746372802
30,10,Voter Model,15,0.8642026571999941
30,10,Voter Model,16,0.5792610670643926
30,10,Voter Model,17,0.4308966584788978
30,10,Voter Model,18,0.7691881010078205
30,10,Voter Model,19,0.3142900424227827
30,10,Voter Model,20,0.513392446066766
30,10,Voter Model,21,0.5476410282976734
30,10,Voter Model,22,0.5909921749262675
30,10,Voter Model,23,0.415750881954517
30,10,Voter Model,24,0.6718128455001173
30,10,Voter Model,25,0.41247519005143624
30,10,Voter Model,26,0.5496701710781433
30,10,Voter Model,27,0.5499920432998114
30,10,Voter Model,28,0.48355722842446064
30,10,Voter Model,29,0.5051094578207359
30,10,Voter Model,30,0.4988795177697584
30,10,Kuramoto Model,1,3.5185599427196603
30,10,Kuramoto Model,2,3.1639585428851307
30,10,Kuramoto Model,3,3.379304857328379
